,ownsCar,ownsRealty,numChildren,totalIncome,incomeType,eduLvl,famStatus,housingType,occupation,famSize,ageYrs,yrsEmpl,UNEMPLOYED,ApprStatus,gender
0,Y,Y,0,211500,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,43,14,1,0,F
1,N,Y,0,94500,Pensioner,Secondary / secondary special,Separated,House / apartment,Not identified,1,58,0,0,0,F
2,N,Y,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,58,13,1,1,F
3,Y,Y,0,315000,Commercial associate,Incomplete higher,Single / not married,House / apartment,Core staff,1,25,3,1,0,F
4,N,N,0,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,60,0,0,1,F
5,N,Y,0,193500,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,58,31,1,1,F
6,N,N,1,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,2,26,0,1,1,F
7,N,Y,0,81000,State servant,Higher education,Widow,House / apartment,High skill tech staff,1,54,18,1,1,F
8,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers,2,52,2,1,1,F
9,N,Y,1,225000,Commercial associate,Higher education,Married,House / apartment,Sales staff,3,36,5,1,0,F
10,N,Y,1,247500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,3,32,4,1,0,F
11,N,Y,0,171000,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,2,42,6,1,0,F
12,N,Y,2,189000,Working,Secondary / secondary special,Civil marriage,House / apartment,Not identified,4,38,0,1,0,F
13,N,Y,0,112500,Commercial associate,Incomplete higher,Single / not married,House / apartment,Not identified,1,29,0,1,0,F
14,Y,N,0,337500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,0,F
15,N,N,2,180000,State servant,Secondary / secondary special,Married,House / apartment,Laborers,4,38,4,1,0,F
16,Y,Y,0,29250,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,55,0,0,1,F
17,N,Y,2,99000,Working,Secondary / secondary special,Separated,House / apartment,Laborers,3,35,1,1,1,F
18,N,Y,1,292500,Working,Incomplete higher,Single / not married,House / apartment,Core staff,2,35,7,1,1,F
19,N,N,0,202500,Commercial associate,Higher education,Married,House / apartment,Accountants,2,49,8,1,0,F
20,N,N,0,112500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,63,0,0,0,F
21,Y,N,0,148500,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,2,35,5,1,0,F
22,N,N,0,162000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,47,4,1,1,F
23,N,N,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Not identified,2,39,18,1,1,F
24,N,N,0,292500,Commercial associate,Secondary / secondary special,Separated,House / apartment,Not identified,1,43,24,1,0,F
25,N,N,0,76500,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,2,36,14,1,1,F
26,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,64,0,0,1,F
27,N,Y,0,292500,Working,Higher education,Married,House / apartment,Accountants,2,38,3,1,1,F
28,Y,Y,0,90000,State servant,Secondary / secondary special,Married,House / apartment,Core staff,2,53,7,1,1,F
29,Y,N,0,121500,State servant,Higher education,Married,House / apartment,Not identified,2,55,13,1,1,F
30,N,Y,0,67500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,54,0,0,0,F
31,N,Y,0,112500,State servant,Higher education,Married,House / apartment,Core staff,2,36,0,1,1,F
32,N,N,1,225000,Working,Incomplete higher,Married,With parents,Accountants,3,44,20,1,1,F
33,N,N,1,36000,Working,Secondary / secondary special,Married,Rented apartment,Laborers,3,37,15,1,1,F
34,N,N,0,364500,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,2,48,2,1,0,F
35,Y,Y,2,315000,State servant,Secondary / secondary special,Married,House / apartment,Managers,4,34,3,1,0,F
36,N,Y,1,90000,Working,Higher education,Married,House / apartment,Laborers,3,29,6,1,1,F
37,N,Y,3,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,5,34,6,1,1,F
38,N,N,0,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,56,5,1,0,F
39,N,Y,0,382500,Working,Secondary / secondary special,Married,House / apartment,Secretaries,2,48,4,1,0,F
40,Y,Y,0,135000,Working,Higher education,Civil marriage,House / apartment,Not identified,2,46,1,1,0,F
41,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,35,2,1,0,F
42,N,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,58,25,1,1,F
43,N,Y,0,274500,Working,Higher education,Civil marriage,House / apartment,Not identified,2,55,1,1,1,F
44,N,N,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,34,4,1,0,F
45,N,N,0,225000,Working,Higher education,Separated,House / apartment,Laborers,1,36,11,1,0,F
46,N,N,0,153000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,45,0,0,1,F
47,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,66,0,0,1,F
48,N,Y,0,112500,Working,Higher education,Married,With parents,Core staff,2,26,2,1,1,F
49,N,Y,0,180000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Managers,1,52,4,1,0,F
50,N,Y,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,28,2,1,1,F
51,N,Y,0,270000,Working,Higher education,Married,House / apartment,Not identified,2,34,2,1,0,F
52,N,N,0,103500,Working,Higher education,Married,House / apartment,Not identified,2,44,18,1,1,F
53,N,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,42,8,1,1,F
54,N,Y,0,99000,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,1,29,3,1,1,F
55,N,Y,0,58500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,66,0,0,0,F
56,N,N,0,202500,Working,Secondary / secondary special,Married,With parents,Managers,2,36,0,1,0,F
57,N,Y,0,67500,State servant,Secondary / secondary special,Married,House / apartment,Not identified,2,55,31,1,1,F
58,N,Y,1,135000,Working,Higher education,Married,House / apartment,Accountants,3,38,1,1,1,F
59,N,Y,0,139500,Pensioner,Secondary / secondary special,Separated,House / apartment,Not identified,1,61,0,0,0,F
60,N,Y,0,157500,Working,Incomplete higher,Married,House / apartment,Drivers,2,39,6,1,1,F
61,N,Y,1,157500,Commercial associate,Higher education,Married,House / apartment,Accountants,3,39,9,1,1,F
62,N,Y,0,135000,Working,Secondary / secondary special,Widow,House / apartment,Managers,1,40,2,1,1,F
63,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,58,4,1,1,F
64,N,Y,0,126000,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,41,7,1,0,F
65,N,N,0,180000,Working,Incomplete higher,Widow,House / apartment,Core staff,1,54,5,1,0,F
66,N,Y,0,288000,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,55,12,1,0,F
67,N,N,0,94500,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,43,1,1,1,F
68,N,Y,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,2,48,0,1,1,F
69,N,Y,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,44,10,1,0,F
70,N,N,0,135000,Working,Secondary / secondary special,Single / not married,With parents,Not identified,1,27,5,1,0,F
71,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,61,0,0,0,F
72,N,N,3,103500,Working,Secondary / secondary special,Married,With parents,Laborers,5,38,12,1,1,F
73,N,Y,1,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,Private service staff,3,28,5,1,1,F
74,N,Y,0,171000,Working,Higher education,Single / not married,House / apartment,Laborers,1,28,5,1,0,F
75,Y,Y,1,126000,Commercial associate,Higher education,Married,House / apartment,Laborers,3,35,0,1,0,F
76,N,N,0,135000,Pensioner,Higher education,Single / not married,House / apartment,Not identified,1,58,0,0,1,F
77,N,Y,1,216000,Working,Higher education,Single / not married,House / apartment,Core staff,2,29,4,1,0,F
78,Y,Y,1,630000,Working,Higher education,Married,House / apartment,Sales staff,3,52,17,1,1,F
79,N,N,1,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,Core staff,3,32,4,1,0,F
80,N,Y,1,157500,Working,Secondary / secondary special,Married,Municipal apartment,Sales staff,3,44,5,1,0,F
81,Y,N,2,180000,Working,Higher education,Married,House / apartment,Accountants,4,42,14,1,1,F
82,N,Y,0,62100,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,64,0,0,0,F
83,N,Y,0,387000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,55,13,1,1,F
84,N,Y,0,225000,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,2,35,3,1,1,F
85,N,Y,1,180000,Working,Higher education,Separated,House / apartment,Not identified,2,42,6,1,0,F
86,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,42,3,1,1,F
87,N,Y,2,103500,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,4,40,18,1,0,F
88,N,N,0,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,38,3,1,0,F
