,totalIncome,famSize,ageYrs,yrsEmpl,UNEMPLOYED,ApprStatus,ownsCarR,ownsRealtyR,eduLvlR,incomeTypeR,housingTypeR,famStatusR,genderR
0,238500.0,2.0,47.0,13.599184103711917,1,1,0,1,0,0,1,1,0
1,135000.0,3.0,41.0,4.799550983250854,1,0,1,1,1,0,1,1,0
2,157500.0,2.0,40.0,12.506759207923505,1,0,0,1,1,0,1,1,0
3,225000.0,2.0,24.0,0.2573632586569197,1,1,0,1,2,1,1,0,0
4,67500.0,2.0,37.0,3.263585152330301,1,1,0,1,1,0,1,2,0
5,180000.0,4.0,42.0,14.844931791891687,1,1,1,0,0,0,1,1,0
6,202500.0,4.0,30.0,8.416326139482672,1,1,0,1,0,0,1,1,0
7,225000.0,2.0,40.0,7.318425429680281,1,0,1,0,1,1,1,1,0
8,157500.0,2.0,56.0,0.0,0,0,0,1,1,2,1,0,0
9,45000.0,1.0,25.0,2.674935145827772,1,1,1,0,1,0,0,2,0
10,157500.0,2.0,49.0,8.101466833678995,1,0,0,0,0,0,1,1,0
11,103500.0,4.0,40.0,18.127682293270908,1,1,0,1,1,0,1,1,0
12,112500.0,2.0,36.0,5.634612620382349,1,1,0,1,0,0,1,1,0
13,216000.0,2.0,30.0,4.3696995831536585,1,1,1,0,0,1,2,1,0
14,450000.0,5.0,62.0,0.0,0,1,0,1,1,2,1,1,0
15,180000.0,2.0,59.0,0.0,0,1,0,1,1,2,1,0,0
16,90000.0,1.0,58.0,0.0,0,1,1,1,1,2,1,4,0
17,126000.0,3.0,23.0,1.366215596487265,1,1,1,1,1,0,1,1,0
18,112500.0,1.0,26.0,0.3915207019993565,1,0,0,0,0,0,1,2,0
19,225000.0,2.0,28.0,8.377995441384833,1,0,1,0,1,1,1,1,0
20,99000.0,3.0,41.0,8.900935679719638,1,1,0,1,1,1,1,1,0
21,67500.0,1.0,57.0,0.0,0,0,0,1,1,2,1,4,0
22,225000.0,1.0,58.0,2.874802357337933,1,1,0,1,1,1,1,4,0
23,112500.0,3.0,33.0,13.982491084690308,1,1,0,0,1,0,1,1,0
24,144000.0,1.0,44.0,6.869408680534166,1,1,0,0,1,1,1,2,0
25,157500.0,2.0,29.0,2.841947473254071,1,0,1,1,1,0,1,1,0
26,157500.0,3.0,41.0,13.339082938048008,1,0,1,1,0,0,1,1,0
27,87750.0,1.0,59.0,3.7673600416161865,1,0,0,0,1,0,1,2,0
28,126000.0,2.0,49.0,2.625652819701979,1,1,0,1,0,0,1,1,0
29,112500.0,2.0,39.0,20.16194719946337,1,1,1,0,1,0,1,1,0
30,216000.0,2.0,43.0,1.1937274550469894,1,0,0,0,1,0,1,1,0
31,135000.0,3.0,31.0,9.590888245480745,1,0,0,1,0,1,1,1,0
32,180000.0,2.0,50.0,1.7248814144027598,1,0,0,1,1,0,1,0,0
33,135000.0,2.0,59.0,0.0,0,1,0,0,1,2,1,1,0
34,225000.0,2.0,57.0,2.913133055435772,1,1,1,0,1,0,1,1,0
35,171000.0,2.0,58.0,0.0,0,1,0,1,1,2,1,1,0
36,202500.0,4.0,35.0,2.09176095333922,1,0,0,1,2,0,1,1,0
37,67500.0,3.0,31.0,0.9911223365298396,1,1,0,0,1,0,1,1,0
38,216000.0,4.0,43.0,8.520366605748235,1,1,0,1,0,3,1,1,0
39,162000.0,2.0,40.0,19.625317426093623,1,0,0,1,1,0,1,0,0
40,180000.0,2.0,30.0,3.553803295071083,1,0,0,1,1,0,2,2,0
41,337500.0,4.0,44.0,6.176718207766073,1,0,1,1,1,1,1,1,0
42,189000.0,2.0,45.0,1.4319253646549894,1,1,0,0,1,1,1,0,0
43,157500.0,2.0,54.0,0.0,0,1,0,1,1,2,1,1,0
44,180000.0,1.0,28.0,3.0336009637432664,1,0,1,0,0,1,1,2,0
45,135000.0,2.0,38.0,11.581346639561389,1,1,0,1,1,0,1,0,0
46,405000.0,2.0,48.0,20.882016742301342,1,0,0,1,0,0,1,1,0
47,382500.0,2.0,43.0,10.855801282709432,1,1,1,0,0,0,1,1,0
48,99000.0,2.0,42.0,12.816142699713204,1,1,0,1,1,0,1,1,0
49,225000.0,2.0,45.0,23.263995838381348,1,0,0,1,1,3,1,1,0
50,202500.0,2.0,51.0,3.646892133308692,1,0,1,1,1,1,1,0,0
51,265500.0,3.0,33.0,11.1733984955201,1,0,0,1,0,1,1,1,0
52,112500.0,4.0,33.0,7.030945193946487,1,0,0,1,1,0,1,1,0
53,47250.0,2.0,59.0,0.0,0,1,0,1,1,2,2,1,0
54,148500.0,3.0,32.0,10.34655057940957,1,0,1,0,1,0,1,1,0
55,180000.0,2.0,53.0,3.334770734512002,1,1,0,1,1,0,1,1,0
56,40500.0,2.0,50.0,0.0,0,0,0,1,1,2,1,1,0
57,112500.0,1.0,45.0,4.42171981628644,1,0,0,0,1,1,2,3,0
58,157500.0,2.0,62.0,0.0,0,1,0,1,0,2,1,1,0
