,totalIncome,famSize,ageYrs,yrsEmpl,UNEMPLOYED,ApprStatus,genderR,ownsCarR,ownsRealtyR,eduLvlR,incomeTypeR,housingTypeR,famStatusR
0,427500.0,2.0,33.0,12.4355736257418,1,1,1,1,1,0,0,0,0
31,112500.0,2.0,59.0,3.104786545924968,1,1,1,1,1,1,0,1,1
61,270000.0,1.0,53.0,8.353354278321937,1,1,0,0,1,1,1,1,2
137,283500.0,1.0,62.0,0.0,0,0,0,0,1,0,2,1,3
188,270000.0,2.0,47.0,2.1054504883741623,1,0,1,1,1,0,0,1,1
237,135000.0,2.0,49.0,3.269060966344278,1,1,1,1,1,1,1,1,1
254,135000.0,2.0,49.0,3.269060966344278,1,0,1,1,1,1,1,1,1
281,130500.0,2.0,30.0,3.019911428708324,1,0,0,1,0,2,0,1,1
307,130500.0,2.0,30.0,3.019911428708324,1,1,0,1,0,2,0,1,1
768419,180000.0,2.0,52.0,0.0,0,1,1,1,1,0,2,1,1
337,157500.0,2.0,28.0,4.021985393266117,1,1,0,0,1,1,0,1,1
369,157500.0,2.0,28.0,4.021985393266117,1,0,0,0,1,1,0,1,1
424,112500.0,2.0,31.0,4.435409351321383,1,1,0,0,1,1,0,1,2
486,270000.0,5.0,35.0,3.1841858491276342,1,1,1,1,1,1,0,1,1
520,405000.0,3.0,33.0,5.519620526088831,1,0,1,0,1,0,1,1,1
565,405000.0,3.0,33.0,5.519620526088831,1,1,1,0,1,0,1,1,1
665,112500.0,2.0,57.0,12.183686181098858,1,0,1,1,1,1,1,1,1
743,112500.0,2.0,57.0,12.183686181098858,1,1,1,1,1,1,1,1,1
810,135000.0,4.0,44.0,8.687378933174534,1,0,0,1,1,1,0,1,1
812,135000.0,4.0,44.0,8.687378933174534,1,1,0,1,1,1,0,1,1
917,211500.0,3.0,45.0,19.436401842611414,1,0,0,0,1,1,3,1,0
954,360000.0,2.0,46.0,14.686133185486357,1,0,1,1,1,1,1,1,1
965,126000.0,4.0,34.0,4.854309123390624,1,1,0,0,1,0,1,1,1
1117,126000.0,4.0,34.0,4.854309123390624,1,0,0,0,1,0,1,1,1
1230,315000.0,1.0,56.0,0.0,0,1,0,0,1,1,2,1,4
1271,247500.0,1.0,47.0,3.68796073841352,1,0,0,0,1,0,1,0,3
1294,297000.0,1.0,43.0,8.854391260600833,1,1,0,0,1,1,1,0,2
1533,297000.0,1.0,43.0,8.854391260600833,1,0,0,0,1,1,1,0,2
2034,157500.0,2.0,38.0,13.267897355866308,1,0,0,0,0,0,1,1,1
2050,157500.0,2.0,38.0,13.267897355866308,1,1,0,0,0,0,1,1,1
2113,135000.0,2.0,43.0,3.8549730658398182,1,1,1,0,1,1,0,1,1
2153,225000.0,3.0,29.0,7.688042875623729,1,1,1,0,1,1,0,1,1
2273,225000.0,3.0,29.0,7.688042875623729,1,0,1,0,1,1,0,1,1
