,totalIncome,famSize,ageYrs,yrsEmpl,UNEMPLOYED,ApprStatus,genderR,ownsCarR,ownsRealtyR,eduLvlR,incomeTypeR,housingTypeR,famStatusR
1,112500,2,59,3,1,1,1,1,1,1,0,1,1
2,270000,1,53,8,1,1,0,0,1,1,1,1,2
3,283500,1,62,0,0,0,0,0,1,0,2,1,3
4,270000,2,47,2,1,0,1,1,1,0,0,1,1
5,135000,2,49,3,1,1,1,1,1,1,1,1,1
6,135000,2,49,3,1,0,1,1,1,1,1,1,1
7,130500,2,30,3,1,0,0,1,0,2,0,1,1
8,130500,2,30,3,1,1,0,1,0,2,0,1,1
9,180000,2,52,0,0,1,1,1,1,0,2,1,1
10,157500,2,28,4,1,1,0,0,1,1,0,1,1
11,157500,2,28,4,1,0,0,0,1,1,0,1,1
12,112500,2,31,4,1,1,0,0,1,1,0,1,2
16,112500,2,57,12,1,0,1,1,1,1,1,1,1
17,112500,2,57,12,1,1,1,1,1,1,1,1,1
18,135000,4,44,8,1,0,0,1,1,1,0,1,1
19,135000,4,44,8,1,1,0,1,1,1,0,1,1
21,360000,2,46,14,1,0,1,1,1,1,1,1,1
22,126000,4,34,4,1,1,0,0,1,0,1,1,1
23,126000,4,34,4,1,0,0,0,1,0,1,1,1
24,315000,1,56,0,0,1,0,0,1,1,2,1,4
25,247500,1,47,3,1,0,0,0,1,0,1,0,3
26,297000,1,43,8,1,1,0,0,1,1,1,0,2
27,297000,1,43,8,1,0,0,0,1,1,1,0,2
28,157500,2,38,13,1,0,0,0,0,0,1,1,1
29,157500,2,38,13,1,1,0,0,0,0,1,1,1
30,135000,2,43,3,1,1,1,0,1,1,0,1,1
31,225000,3,29,7,1,1,1,0,1,1,0,1,1
32,225000,3,29,7,1,0,1,0,1,1,0,1,1
33,135000,2,49,4,1,0,0,1,1,1,0,1,1
34,135000,2,49,4,1,1,0,1,1,1,0,1,1
35,157500,2,44,2,1,0,1,0,1,1,0,1,1
36,112500,2,62,0,0,0,0,0,1,1,2,1,1
37,112500,2,62,0,0,1,0,0,1,1,2,1,1
38,112500,2,58,6,1,1,1,1,1,1,3,1,1
39,270000,1,46,3,1,0,0,1,1,1,0,1,3
40,270000,1,46,3,1,1,0,1,1,1,0,1,3
41,270000,2,30,2,1,1,0,1,1,0,0,1,1
42,157500,2,28,2,1,1,1,1,1,1,0,1,1
43,166500,2,52,17,1,0,1,0,1,1,0,1,1
44,166500,2,52,17,1,1,1,0,1,1,0,1,1
45,216000,4,43,8,1,1,0,0,1,0,3,1,1
46,216000,4,43,8,1,0,0,0,1,0,3,1,1
48,225000,2,40,7,1,0,0,1,1,1,1,1,1
49,225000,2,40,7,1,1,0,1,1,1,1,1,1
50,315000,1,29,3,1,1,0,0,1,1,0,1,2
51,255150,2,52,0,0,1,0,0,0,2,2,0,0
52,255150,2,52,0,0,0,0,0,0,2,2,0,0
53,157500,3,40,1,1,1,0,0,1,1,0,1,2
54,148500,2,49,2,1,1,0,0,1,0,0,1,1
55,148500,2,49,2,1,0,0,0,1,0,0,1,1
56,202500,4,31,6,1,1,0,0,1,0,0,1,1
57,202500,4,31,6,1,0,0,0,1,0,0,1,1
58,202500,1,25,2,1,0,1,0,1,1,0,1,2
59,112500,1,21,2,1,1,0,1,1,1,1,1,2
60,94500,2,62,0,0,0,0,0,1,0,2,1,1
61,315000,2,29,5,1,1,1,1,1,1,0,1,0
62,315000,2,29,5,1,0,1,1,1,1,0,1,0
63,270000,2,29,8,1,1,0,1,1,2,1,2,0
65,180000,3,39,3,1,1,1,0,1,1,0,3,1
66,112500,2,28,8,1,1,0,0,1,0,0,1,0
67,112500,2,28,8,1,0,0,0,1,0,0,1,0
68,90000,2,57,15,1,1,1,0,1,1,0,1,1
69,90000,2,57,15,1,0,1,0,1,1,0,1,1
70,202500,4,41,8,1,0,1,1,0,0,1,1,1
71,247500,2,35,11,1,0,1,1,1,1,0,1,1
73,270000,3,38,12,1,1,0,0,1,1,1,1,1
74,270000,3,38,12,1,0,0,0,1,1,1,1,1
75,315000,1,37,1,1,1,0,0,1,0,0,1,3
76,157500,4,36,11,1,1,1,1,1,1,0,3,1
77,360000,2,42,7,1,0,1,0,1,1,1,1,1
78,360000,2,42,7,1,1,1,0,1,1,1,1,1
79,112500,2,25,0,1,0,0,0,1,0,1,1,1
80,157500,1,44,1,1,1,0,0,0,0,1,3,3
81,382500,1,60,0,0,1,1,0,1,1,2,1,4
82,382500,1,60,0,0,0,1,0,1,1,2,1,4
83,135000,2,27,4,1,1,0,0,0,1,0,1,0
84,135000,2,27,4,1,0,0,0,0,1,0,1,0
85,225000,2,51,0,0,0,1,1,0,1,2,1,0
86,315000,2,44,10,1,1,1,1,0,0,0,1,1
87,315000,2,44,10,1,0,1,1,0,0,0,1,1
88,180000,2,54,7,1,1,0,0,0,1,0,1,1
89,157500,2,36,8,1,0,0,0,0,1,0,1,1
90,144000,2,63,0,0,0,0,1,0,1,2,1,1
91,229500,2,51,3,1,0,1,1,0,2,0,4,1
92,229500,2,51,3,1,1,1,1,0,2,0,4,1
93,270000,2,49,15,1,0,0,0,0,0,0,1,1
94,270000,2,49,15,1,1,0,0,0,0,0,1,1
97,270000,2,34,2,1,1,0,0,0,0,0,1,1
98,270000,2,34,2,1,0,0,0,0,0,0,1,1
99,225000,2,41,2,1,1,0,1,0,1,0,1,1
100,225000,2,41,2,1,0,0,1,0,1,0,1,1
101,157500,2,30,2,1,1,1,1,0,2,0,3,1
102,74250,1,53,14,1,1,0,0,0,0,0,2,3
103,74250,1,53,14,1,0,0,0,0,0,0,2,3
104,135000,2,39,5,1,1,0,0,0,1,1,1,1
105,135000,3,28,2,1,1,1,1,0,1,0,1,1
107,202500,2,40,3,1,1,0,0,0,0,3,3,1
108,202500,2,40,3,1,0,0,0,0,0,3,3,1
109,40500,1,58,0,0,0,0,0,0,1,2,1,2
110,337500,2,29,4,1,1,1,1,0,0,3,3,1
111,337500,2,29,4,1,0,1,1,0,0,3,3,1
112,180000,2,41,6,1,0,1,0,0,1,1,2,1
113,180000,2,41,6,1,1,1,0,0,1,1,2,1
114,130500,2,42,13,1,1,0,0,0,1,0,1,0
115,130500,2,42,13,1,0,0,0,0,1,0,1,0
116,144000,2,58,0,0,1,0,0,0,1,2,1,1
117,144000,2,58,0,0,0,0,0,0,1,2,1,1
118,193500,1,45,5,1,0,0,0,0,1,0,2,2
119,112500,1,61,0,0,1,0,0,0,1,2,1,4
120,112500,1,61,0,0,0,0,0,0,1,2,1,4
121,135000,2,56,0,0,0,0,1,0,1,2,1,1
122,135000,2,56,0,0,1,0,1,0,1,2,1,1
123,267750,2,58,12,1,1,1,1,0,0,0,1,1
124,267750,2,58,12,1,0,1,1,0,0,0,1,1
